mean_rank,feature,rank_shift,rank_att,rank_shift_in_modal,rank_att_in_modal,modality,importance_shift,importance_att,top_10_pct,mean_de,mean_re,std_de,std_re,pval,pval_adj,log_fc,group,pval_adj_log,mean_diff,pathway,module
1738.0,Dhrs9,1841,1635,839,593,RNA,0.0,9.8e-05,None,0.017177,0.004768,0.104265,0.057669,0.005832286576354867,0.026956,-1.858014,dead-end,1.569351,0.012409,,
1739.0,Lrrk2,1701,1777,673,727,RNA,0.000132,6.4e-05,None,0.054955,0.027396,0.173203,0.129953,0.0004439763741070817,0.003095,-1.024281,dead-end,2.509383,0.027558,,
1739.0,Rarres1,1771,1707,720,657,RNA,4.1e-05,8.4e-05,None,0.006554,0.016478,0.063827,0.095689,0.006401215424352608,0.029032,1.33722,reprogramming,1.537123,-0.009924,,
1739.5,Plekha7,1620,1859,646,809,RNA,0.000208,4.5e-05,None,0.01482,0.038116,0.087924,0.140319,7.060750381162528e-06,8.2e-05,1.379714,reprogramming,4.085389,-0.023296,,
1742.0,Gm15222,1673,1811,663,761,RNA,0.000155,5.7e-05,None,0.019455,0.04376,0.098411,0.176184,8.454505907381036e-05,0.000737,1.187092,reprogramming,3.132363,-0.024305,,
1744.5,Ctla2b,1835,1654,812,607,RNA,0.0,9.5e-05,None,0.000161,0.001962,0.000369,0.024283,0.00567098063813295,0.026339,3.612521,reprogramming,1.579393,-0.001801,,
1745.0,Helz2,1599,1891,642,841,RNA,0.000225,3.8e-05,None,0.018976,0.044238,0.106145,0.141797,1.1049838117226667e-05,0.000122,1.239462,reprogramming,3.914594,-0.025262,,
1745.5,Larp6,1907,1584,841,564,RNA,0.0,0.000109,None,0.011959,0.002387,0.074187,0.035329,0.0024162981172253465,0.013041,-2.331578,dead-end,1.884693,0.009572,,
1745.5,B230312C02Rik,1637,1854,651,804,RNA,0.000194,4.6e-05,None,0.001794,0.010378,0.020975,0.071333,4.147327480668626e-05,0.000392,2.538133,reprogramming,3.406784,-0.008584,,
1746.5,Ceacam1,1574,1919,638,869,RNA,0.000249,3.5e-05,None,0.001089,0.006352,0.022833,0.055005,0.002489135325804477,0.013387,2.547294,reprogramming,1.873311,-0.005262,,
1747.0,Ptchd4,1724,1770,685,720,RNA,0.000106,6.5e-05,None,0.050116,0.020204,0.173345,0.101478,7.507469228336549e-05,0.000663,-1.332362,dead-end,3.178194,0.029912,,
1747.5,Acsf2,1553,1942,633,892,RNA,0.000265,3.1e-05,None,0.024138,0.048175,0.106813,0.160162,8.112284399218548e-05,0.000712,1.014414,reprogramming,3.147299,-0.024037,,
1748.0,Rasl11a,1698,1798,672,748,RNA,0.000133,5.9e-05,None,0.043737,0.016536,0.179106,0.102862,0.0004702264496790666,0.003255,-1.423004,dead-end,2.487476,0.027201,,
1749.5,Ascl2,1813,1686,810,636,RNA,0.0,8.9e-05,None,0.001646,0.009017,0.026093,0.080969,0.002256621890736298,0.012374,2.458813,reprogramming,1.907494,-0.007371,,
1749.5,Gpr37,1884,1615,838,580,RNA,0.0,0.000104,None,0.000184,0.003334,0.00073,0.039804,0.0031775142694275174,0.016459,4.178913,reprogramming,1.783606,-0.003149,,
1749.5,Atp12a,1761,1738,712,688,RNA,5.6e-05,7.3e-05,None,0.000145,0.003004,0.000701,0.041471,0.010123737470898854,0.04212,4.378593,reprogramming,1.375511,-0.002859,,
1749.5,BC030870,1818,1681,826,631,RNA,0.0,8.9e-05,None,0.000172,0.00388,0.000505,0.038569,0.0003396631616141547,0.002464,4.501299,reprogramming,2.608356,-0.003709,,
1750.0,Lrrc73,1674,1826,664,776,RNA,0.000155,5.3e-05,None,0.038651,0.019036,0.146824,0.09698,0.0025351824739424256,0.013603,-1.036,dead-end,1.866358,0.019615,,
1753.0,Kcnk5,1646,1860,654,810,RNA,0.000179,4.5e-05,None,0.006592,0.01687,0.067162,0.096539,0.006167237971417747,0.02822,1.363027,reprogramming,1.549446,-0.010278,,
1753.0,Kank4,1730,1776,687,726,RNA,9.9e-05,6.4e-05,None,0.001673,0.008573,0.021673,0.066034,0.0004802804192213924,0.00331,2.361939,reprogramming,2.480231,-0.006899,,
1755.0,Gpr35,1883,1627,764,586,RNA,0.0,0.000101,None,0.000178,0.002104,0.000544,0.025944,0.005640255948832579,0.026241,3.56747,reprogramming,1.581026,-0.001926,,
1756.0,Ltb4r1,1910,1602,818,572,RNA,0.0,0.000107,None,0.000269,0.002389,0.00322,0.028998,0.0071581749329826545,0.031639,3.151093,reprogramming,1.499777,-0.002119,,
1758.0,Klhl6,1733,1783,689,733,RNA,9.4e-05,6.2e-05,None,0.001613,0.00793,0.01756,0.075884,0.0033662323792395337,0.017262,2.302461,reprogramming,1.7629,-0.006317,,
1759.0,1700006J14Rik,1647,1871,655,821,RNA,0.000179,4.2e-05,None,0.019757,0.008456,0.103336,0.064325,0.01256117815056483,0.049957,-1.232553,dead-end,1.301403,0.011302,,
1762.0,6030419C18Rik,1655,1869,657,819,RNA,0.00017,4.2e-05,None,0.045685,0.022032,0.166864,0.119326,0.0015791419330256978,0.009187,-1.0693,dead-end,2.036848,0.023653,,
1762.5,Rab3c,1954,1571,833,556,RNA,0.0,0.000111,None,0.021422,0.001873,0.126588,0.021832,0.00016147501711421974,0.0013,-3.530112,dead-end,2.886171,0.019549,,
1764.0,Derl3,1840,1688,809,638,RNA,0.0,8.8e-05,None,0.000131,0.003413,0.000191,0.043931,0.005318671231454177,0.025029,4.707632,reprogramming,1.601548,-0.003282,,
1764.0,F930015N05Rik,1851,1677,877,628,RNA,0.0,9e-05,None,0.008063,0.001961,0.05705,0.028743,0.012275986879862784,0.049116,-2.0441,dead-end,1.308781,0.006102,,
1765.0,Ccdc70,1828,1702,848,652,RNA,0.0,8.4e-05,None,9.4e-05,0.002076,0.000299,0.024988,0.003098698382279968,0.016123,4.462737,reprogramming,1.792567,-0.001982,,
1765.5,Gm44000,1703,1828,674,778,RNA,0.00013,5.2e-05,None,0.000463,0.002926,0.011318,0.030783,0.009016479818098267,0.038176,2.662726,reprogramming,1.418204,-0.002463,,
1766.5,Hspa12b,1894,1639,944,595,RNA,0.0,9.8e-05,None,0.025368,0.006276,0.105194,0.056442,2.6096676597224244e-05,0.00026,-2.028825,dead-end,3.585224,0.019092,,
1768.0,Tpk1,1556,1980,635,930,RNA,0.000262,2.2e-05,None,0.019442,0.041529,0.099538,0.139612,6.033946682434569e-05,0.000545,1.110918,reprogramming,3.263872,-0.022086,,
1768.5,Tmsb15b2,1718,1819,682,769,RNA,0.000114,5.5e-05,None,0.000754,0.005109,0.0154,0.051046,0.00376794362332351,0.018952,2.763973,reprogramming,1.722355,-0.004355,,
